,tweet_id,source,text,rating_numerator,rating_denominator,pets_name,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,favorite_count,retweet_count,date,time,developmentalStage,dogTypeMax,dogConfsMax,new_dog_rating,dog_counts
236,847251039262605312,Twitter for iPhone,This is Furzey. He's doing an elevated sandy zoom. Adjusts ears to steer. 12/10 would pet mid flight https://t.co/zhbRIZQgnq,12.0,10.0,Furzey,https://pbs.twimg.com/media/C8IKUjAUwAEP-En.jpg,1.0,Airedale,0.49538,True,Irish_terrier,0.316456,True,Lakeland_terrier,0.15853299999999998,True,21326.0,4575.0,2017-03-30 00:00:00,2018-10-13 00:56:00,no-entry,Airedale,0.49538,12.0,1.0
242,846153765933735936,Twitter for iPhone,This is Vixen. He really likes bananas. Steals them when he thinks nobody's watching. 13/10 opportunistic af https://t.co/a0CkS5ExFR,13.0,10.0,Vixen,https://pbs.twimg.com/media/C74kWqoU8AEaf3v.jpg,1.0,giant_schnauzer,0.346468,True,flat-coated_retriever,0.21845100000000006,True,Labrador_retriever,0.10802,True,33139.0,9687.0,2017-03-27 00:00:00,2018-10-13 00:15:00,no-entry,giant_schnauzer,0.346468,13.0,1.0
248,845397057150107648,Twitter for iPhone,"Say hello to Mimosa. She's an emotional support doggo who helps her owner with PTSD. 13/10, but she needs your help

https://t.co/L6mLzrd7Mx https://t.co/jMutBFdw5o",13.0,10.0,Mimosa,https://pbs.twimg.com/media/C7t0IzLWkAINoft.jpg,1.0,Dandie_Dinmont,0.394404,True,Maltese_dog,0.186537,True,West_Highland_white_terrier,0.181985,True,7982.0,1940.0,2017-03-24 00:00:00,2018-10-13 22:08:00,doggo,Dandie_Dinmont,0.394404,13.0,1.0
249,845306882940190720,Twitter for iPhone,This is Pickles. She's a silly pupper. Thinks she's a dish. 12/10 would dry https://t.co/7mPCF4ZwEk,12.0,10.0,Pickles,https://pbs.twimg.com/media/C7siH5DXkAACnDT.jpg,1.0,Irish_water_spaniel,0.567475,True,Labrador_retriever,0.169496,True,curly-coated_retriever,0.101518,True,24411.0,5774.0,2017-03-24 00:00:00,2018-10-13 16:10:00,pupper,Irish_water_spaniel,0.567475,12.0,1.0
251,844979544864018432,Twitter for iPhone,"PUPDATE: I'm proud to announce that Toby is 236 days sober. Pupgraded to a 13/10. We're all very proud of you, Toby https://t.co/a5OaJeRl9B",13.0,10.0,,https://pbs.twimg.com/media/C7n4aQ0VAAAohkL.jpg,3.0,tennis_ball,0.999281,False,racket,0.00037008,False,Shetland_sheepdog,0.000132068,True,14272.0,2768.0,2017-03-23 00:00:00,2018-10-13 18:29:00,no-entry,tennis_ball,0.000132068,13.0,1.0
252,844973813909606400,Twitter for iPhone,"This is Brady. He's a recovering alcoholic. Demonstrating incredible restraint here. 12/10 don't give pup, don't give in, Brady https://t.co/B1iBuSq3hr",12.0,10.0,Brady,https://pbs.twimg.com/media/C7nzMwTV4AARz4t.jpg,1.0,Labrador_retriever,0.742421,True,golden_retriever,0.195218,True,Chihuahua,0.017320099999999998,True,15833.0,3440.0,2017-03-23 00:00:00,2018-10-13 18:07:00,no-entry,Labrador_retriever,0.742421,12.0,1.0
253,844704788403113984,Twitter for iPhone,This is Luna. It's her first time outside and a bee stung her nose. Completely h*ckin uncalled for. 13/10 where's the bee I just wanna talk https://t.co/2RYiLGHuPN,13.0,10.0,Luna,https://pbs.twimg.com/media/C7j-hkSW0AIxCZC.jpg,1.0,Labrador_retriever,0.980213,True,golden_retriever,0.00701167,True,beagle,0.00314697,True,40575.0,11080.0,2017-03-23 00:00:00,2018-10-13 00:18:00,no-entry,Labrador_retriever,0.980213,13.0,1.0
255,844223788422217728,Twitter for iPhone,This is Margo. She just dug pup a massive hole. Can't wait for you to see it. H*ckin proud of herself. 12/10 would forgive then pet https://t.co/H38HB6rBTx,12.0,10.0,Margo,https://pbs.twimg.com/media/C7dJCnqU4AAswat.jpg,1.0,Labrador_retriever,0.71951,True,Chesapeake_Bay_retriever,0.122019,True,Newfoundland,0.0388276,True,14287.0,2351.0,2017-03-21 00:00:00,2018-10-13 16:26:00,no-entry,Labrador_retriever,0.71951,12.0,1.0
258,843604394117681152,Twitter for iPhone,This is Hank. He's been outside for 3 minutes and already made a friend. Way to go Hank. 11/10 for both https://t.co/wHUElL84RC,11.0,10.0,Hank,https://pbs.twimg.com/media/C7UVuE_U0AI8GGl.jpg,1.0,Labrador_retriever,0.430583,True,golden_retriever,0.263581,True,Great_Pyrenees,0.179385,True,17714.0,2953.0,2017-03-19 00:00:00,2018-10-13 23:25:00,no-entry,Labrador_retriever,0.430583,11.0,1.0
261,842846295480000512,Twitter for iPhone,This is Charlie. He's wishing you a very fun and safe St. Pawtrick's Day. 13/10 festive af https://t.co/nFpNgCWWYs,13.0,10.0,Charlie,https://pbs.twimg.com/media/C7JkO0rX0AErh7X.jpg,1.0,Labrador_retriever,0.461076,True,golden_retriever,0.154946,True,Chihuahua,0.110249,True,15959.0,3855.0,2017-03-17 00:00:00,2018-10-13 21:13:00,no-entry,Labrador_retriever,0.461076,13.0,1.0
263,842535590457499648,Twitter for iPhone,This is Winnie. She lost her body saving a children's hospital from an avalanche. 13/10 what a h*ckin hero https://t.co/Tf0rh9ZgZe,13.0,10.0,Winnie,https://pbs.twimg.com/media/C7FJpgVW4AIDzi6.jpg,1.0,Pembroke,0.685084,True,Cardigan,0.314608,True,basenji,0.000159824,True,18997.0,3759.0,2017-03-17 00:00:00,2018-10-13 00:38:00,no-entry,Pembroke,0.685084,13.0,1.0
264,842163532590374912,Twitter for iPhone,Meet George. He looks slightly deflated but overall quite powerful. Not sure how that human restrained him. 12/10 would snug with permission https://t.co/o6E0hB3xZl,12.0,10.0,George,https://pbs.twimg.com/media/C6_3QgMWsAMNnAk.jpg,2.0,French_bulldog,0.891227,True,soccer_ball,0.022811,False,bull_mastiff,0.012852,True,25716.0,6230.0,2017-03-16 00:00:00,2018-10-13 00:00:00,no-entry,French_bulldog,0.891227,12.0,1.0
271,841077006473256960,Twitter for iPhone,This is Dawn. She's just checking pup on you. Making sure you're doing okay. 12/10 she's here if you need her https://t.co/XKJrmO4fAQ,12.0,10.0,Dawn,https://pbs.twimg.com/media/C6wbE5bXUAAh1Hv.jpg,1.0,Brittany_spaniel,0.962985,True,Blenheim_spaniel,0.014819999999999996,True,clumber,0.00955711,True,24075.0,5709.0,2017-03-13 00:00:00,2018-10-13 00:02:00,no-entry,Brittany_spaniel,0.962985,12.0,1.0
278,840268004936019968,Twitter for iPhone,This is Monty. He makes instantly regrettable decisions. Couldn't help himself. It looked like a ghost lollipop. 12/10 mistake happen https://t.co/8Wsr6b4RjE,12.0,10.0,Monty,https://pbs.twimg.com/media/C6k7SaEXUAg83_J.jpg,3.0,Chesapeake_Bay_retriever,0.8639870000000001,True,Labrador_retriever,0.0526323,True,kelpie,0.0325736,True,20299.0,6177.0,2017-03-10 00:00:00,2018-10-13 18:27:00,no-entry,Chesapeake_Bay_retriever,0.8639870000000001,12.0,1.0
279,839990271299457024,Twitter for iPhone,Meet Sojourner. His nose is a Fibonacci Spiral. Legendary af. 13/10 we must protect him at all costs https://t.co/r7W1NbkOtr,13.0,10.0,Sojourner,https://pbs.twimg.com/media/C6g-sX-VsAAHfJ9.jpg,2.0,Staffordshire_bullterrier,0.604938,True,American_Staffordshire_terrier,0.31154,True,Boston_bull,0.0371591,True,14142.0,2474.0,2017-03-10 00:00:00,2018-10-13 00:04:00,no-entry,Staffordshire_bullterrier,0.604938,13.0,1.0
280,839549326359670784,Twitter for iPhone,"Meet Winston. He knows he's a little too big for the swing, but he doesn't care. Kindly requests a push. 12/10 would happily oblige https://t.co/GuxEXTdnMu",12.0,10.0,Winston,https://pbs.twimg.com/media/C6atpTLWYAIL7bU.jpg,1.0,swing,0.393527,False,Norwich_terrier,0.05248,True,Pembroke,0.0499006,True,28994.0,8389.0,2017-03-08 00:00:00,2018-10-13 18:52:00,no-entry,swing,0.05248,12.0,1.0
293,837820167694528512,Twitter for iPhone,"Here's a pupper before and after being asked ""who's a good girl?"" Unsure as h*ck. 12/10 hint hint it's you https://t.co/ORiK6jlgdH",12.0,10.0,,https://pbs.twimg.com/media/C6CI_jbVAAA3-a1.jpg,1.0,golden_retriever,0.887625,True,Labrador_retriever,0.0687175,True,kuvasz,0.0303868,True,36082.0,8504.0,2017-03-04 00:00:00,2018-10-13 00:21:00,pupper,golden_retriever,0.887625,12.0,1.0
295,837471256429613056,Twitter for iPhone,This is Vincent. He's suave as h*ck. Will be your copilot this evening. Claims he doesn't need to look at the directions. 12/10 https://t.co/u51tzXSVi3,12.0,10.0,Vincent,https://pbs.twimg.com/media/C59LpELWUAEUmYh.jpg,1.0,Norwegian_elkhound,0.976255,True,keeshond,0.0139902,True,seat_belt,0.00211054,False,13505.0,2483.0,2017-03-03 00:00:00,2018-10-13 01:14:00,no-entry,Norwegian_elkhound,0.976255,12.0,1.0
297,837110210464448512,Twitter for iPhone,This is Clark. He passed pupper training today. Round of appaws for Clark. 13/10 https://t.co/7pUjwe8X6B,13.0,10.0,Clark,https://pbs.twimg.com/media/C54DS1kXQAEU5pS.jpg,1.0,Siberian_husky,0.767696,True,Eskimo_dog,0.217079,True,malamute,0.0116568,True,16914.0,2595.0,2017-03-02 00:00:00,2018-10-13 01:20:00,pupper,Siberian_husky,0.767696,13.0,1.0
299,836989968035819520,Twitter for iPhone,This is Mookie. He really enjoys shopping but not from such high altitudes. Doin him quite the concern. 12/10 someone lower him https://t.co/beWUzGVKRM,12.0,10.0,Mookie,https://pbs.twimg.com/media/C52V7PzWcAA_pVv.jpg,1.0,shopping_cart,0.572422,False,shopping_basket,0.414002,False,toy_poodle,0.005887300000000001,True,13441.0,2481.0,2017-03-01 00:00:00,2018-10-13 17:22:00,no-entry,shopping_cart,0.005887300000000001,12.0,1.0
306,836001077879255040,Twitter for iPhone,Atlas is back and this time he's prettier than the sunset. Seems to be aware of it too. 13/10 would give modeling contract https://t.co/uRdKlFArQE,13.0,10.0,,https://pbs.twimg.com/media/C5oSiskU0AE8sJ_.jpg,4.0,Samoyed,0.963558,True,white_wolf,0.0198476,False,malamute,0.00590434,True,20202.0,4654.0,2017-02-26 00:00:00,2018-10-13 23:52:00,no-entry,Samoyed,0.963558,13.0,1.0
314,835172783151792128,Twitter for iPhone,We only rate dogs. Please don't send in any non-canines like this Floppy Tongued House Panda. Thank you... 12/10 would still pet https://t.co/8fX2VkExnL,12.0,10.0,,https://pbs.twimg.com/media/C5chM_jWAAQmov9.jpg,2.0,Border_collie,0.663138,True,collie,0.15249400000000002,True,Cardigan,0.0354706,True,27640.0,6233.0,2017-02-24 00:00:00,2018-10-13 17:01:00,no-entry,Border_collie,0.663138,12.0,1.0
317,834786237630337024,Twitter for iPhone,This is Tobi. She is properly fetching her shot. H*ckin nifty af bandana. 13/10 would send fully armed battalion to remind her of my love https://t.co/3FIqvumEXE,13.0,10.0,Tobi,https://pbs.twimg.com/media/C5XBp19WYAA5a_v.jpg,1.0,Border_terrier,0.156276,True,Norwegian_elkhound,0.125912,True,Boston_bull,0.0966239,True,22362.0,5931.0,2017-02-23 00:00:00,2018-10-13 15:25:00,no-entry,Border_terrier,0.156276,13.0,1.0
320,834458053273591808,Twitter for iPhone,"Meet Chester (bottom) &amp; Harold (top). They are different dogs not only in appearance, but in personality as well. Both 12/10 symbiotic af https://t.co/8ZOZS2FSJe",12.0,10.0,Chester,https://pbs.twimg.com/media/C5SXK89XUAQg7GX.jpg,1.0,Rhodesian_ridgeback,0.468619,True,whippet,0.177531,True,redbone,0.106552,True,10185.0,1817.0,2017-02-22 00:00:00,2018-10-13 17:41:00,no-entry,Rhodesian_ridgeback,0.468619,12.0,1.0
321,834209720923721728,Twitter for iPhone,This is Wilson. He's aware that he has something on his face. Waiting for you to get it for him. 12/10 https://t.co/FaeinVjzTZ,12.0,10.0,Wilson,https://pbs.twimg.com/media/C5O1UAaWIAAMBMd.jpg,1.0,golden_retriever,0.754799,True,Pekinese,0.197861,True,Labrador_retriever,0.00865404,True,21828.0,5200.0,2017-02-22 00:00:00,2018-10-13 01:14:00,no-entry,golden_retriever,0.754799,12.0,1.0
325,833863086058651648,Twitter for iPhone,This is Bentley. Hairbrushes are his favorite thing in the h*ckin world. 12/10 impawsible to say no to https://t.co/HDloTYilWZ,12.0,10.0,Bentley,https://pbs.twimg.com/media/C5J6DIpWQAEosSz.jpg,1.0,kuvasz,0.494969,True,Great_Pyrenees,0.312632,True,golden_retriever,0.141736,True,14200.0,2614.0,2017-02-21 00:00:00,2018-10-13 02:17:00,no-entry,kuvasz,0.494969,12.0,1.0
329,833479644947025920,Twitter for iPhone,This is Poppy. She just arrived. 13/10 would snug passionately https://t.co/YGeSpyN8Gu,13.0,10.0,Poppy,https://pbs.twimg.com/media/C5EdT4jWEAARv2C.jpg,3.0,golden_retriever,0.727039,True,cocker_spaniel,0.0711398,True,Tibetan_mastiff,0.048694199999999986,True,15738.0,2248.0,2017-02-20 00:00:00,2018-10-13 00:53:00,no-entry,golden_retriever,0.727039,13.0,1.0
330,833124694597443584,Twitter for iPhone,This is Gidget. She's a spy pupper. Stealthy as h*ck. Must've slipped pup and got caught. 12/10 would forgive then pet https://t.co/zD97KYFaFa,12.0,10.0,Gidget,https://pbs.twimg.com/media/C4_ad1IUoAEspsk.jpg,3.0,Cardigan,0.7105229999999999,True,kelpie,0.106102,True,shopping_cart,0.0554755,False,21399.0,5255.0,2017-02-19 00:00:00,2018-10-13 01:23:00,pupper,Cardigan,0.7105229999999999,12.0,1.0
333,832757312314028032,Twitter for iPhone,This is Willow. She's the official strawberry taste tester. Palate delicate af. Currently noting the subtle piquancy of this one. 13/10 https://t.co/On7muWnWSQ,13.0,10.0,Willow,https://pbs.twimg.com/media/C46MWnFVYAUg1RK.jpg,2.0,Cardigan,0.160888,True,Staffordshire_bullterrier,0.159441,True,Boston_bull,0.154368,True,17825.0,3945.0,2017-02-18 00:00:00,2018-10-13 01:03:00,no-entry,Cardigan,0.160888,13.0,1.0
336,832636094638288896,Twitter for iPhone,This is Orion. He just got back from the dentist. Cavity free af. 12/10 would give extra pats https://t.co/Y4DZx2UWsr,12.0,10.0,Orion,https://pbs.twimg.com/media/C44eG7oUMAAA4Ss.jpg,1.0,Eskimo_dog,0.5250319999999999,True,Siberian_husky,0.252238,True,malamute,0.216839,True,16810.0,3043.0,2017-02-17 00:00:00,2018-10-13 17:01:00,no-entry,Eskimo_dog,0.5250319999999999,12.0,1.0
337,832397543355072512,Twitter for iPhone,This is Eevee. She wants to see how you're doing. Just checkin pup on you. She hopes you're doing okay. 12/10 extremely good girl https://t.co/nqAJGCHKEt,12.0,10.0,Eevee,https://pbs.twimg.com/media/C41FIiAW8AA7lMr.jpg,1.0,Pekinese,0.988916,True,Brabancon_griffon,0.0016768,True,Siamese_cat,0.00112589,False,12669.0,2417.0,2017-02-17 00:00:00,2018-10-13 01:13:00,no-entry,Pekinese,0.988916,12.0,1.0
339,832273440279240704,Twitter for iPhone,Say hello to Smiley. He's a blind therapy doggo having a h*ckin blast high steppin around in the snow. 14/10 would follow anywhere https://t.co/SHAb1wHjMz,14.0,10.0,Smiley,https://pbs.twimg.com/ext_tw_video_thumb/832273373149413377/pu/img/qOqxM0b48fEarmq6.jpg,1.0,Pembroke,0.134081,True,ice_bear,0.0519278,False,pug,0.0443109,True,11983.0,2535.0,2017-02-16 00:00:00,2018-10-13 17:00:00,doggo,Pembroke,0.134081,14.0,1.0
348,831670449226514432,Twitter for iPhone,This is Daisy. She has a heart on her butt. 13/10 topical af https://t.co/u6p4LxzHKg,13.0,10.0,Daisy,https://pbs.twimg.com/media/C4qv3JUW8AADirb.jpg,1.0,Pembroke,0.6248020000000001,True,Cardigan,0.362861,True,Appenzeller,0.00392621,True,11080.0,1976.0,2017-02-15 00:00:00,2018-10-13 01:04:00,no-entry,Pembroke,0.6248020000000001,13.0,1.0
349,831650051525054464,Twitter for iPhone,"I usually only share these on Friday's, but this is Blue. He's a very smoochable pooch who needs your help. 13/10

https://t.co/piiX0ke8Z6 https://t.co/1UHrKcaCiO",13.0,10.0,,https://pbs.twimg.com/media/C4qdThOWAAI3WX3.jpg,1.0,Eskimo_dog,0.530416,True,Siberian_husky,0.180335,True,Norwegian_elkhound,0.104314,True,7620.0,2113.0,2017-02-14 00:00:00,2018-10-13 23:43:00,no-entry,Eskimo_dog,0.530416,13.0,1.0
350,831552930092285952,Twitter for iPhone,This is Dutch. He dressed up as his favorite emoji for Valentine's Day. I've got heart eyes for his heart eyes. 13/10 https://t.co/BCbmFYLrse,13.0,10.0,Dutch,https://pbs.twimg.com/media/C4pE-I0WQAABveu.jpg,1.0,Chihuahua,0.257415,True,Pembroke,0.161442,True,French_bulldog,0.0921429,True,9560.0,2501.0,2017-02-14 00:00:00,2018-10-13 17:17:00,no-entry,Chihuahua,0.257415,13.0,1.0
352,831315979191906304,Twitter Web Client,I couldn't make it to the #WKCDogShow BUT I have people there on the ground relaying me the finest pupper pics possible. 13/10 for all https://t.co/jd6lYhfdH4,13.0,10.0,,https://pbs.twimg.com/media/C4lst0bXAAE6MP8.jpg,4.0,briard,0.982755,True,soft-coated_wheaten_terrier,0.00908435,True,Bouvier_des_Flandres,0.0046928,True,6921.0,1213.0,2017-02-14 00:00:00,2018-10-13 01:35:00,pupper,briard,0.982755,13.0,1.0
356,830583320585068544,Twitter for iPhone,This is Lilly. She just parallel barked. Kindly requests a reward now. 13/10 would pet so well https://t.co/SATN4If5H5,13.0,10.0,Lilly,https://pbs.twimg.com/media/C4bTH6nWMAAX_bJ.jpg,1.0,Labrador_retriever,0.908703,True,seat_belt,0.0570909,False,pug,0.0119335,True,71058.0,18389.0,2017-02-12 00:00:00,2018-10-13 01:04:00,no-entry,Labrador_retriever,0.908703,13.0,1.0
358,830097400375152640,Twitter for iPhone,"Meet Samson. He's absolute fluffy perfection. Easily 13/10, but he needs your help. Click the link to find out more

https://t.co/z82hCtwhpn https://t.co/KoWrMkbMbW",13.0,10.0,Samson,https://pbs.twimg.com/media/C4UZLZLWYAA0dcs.jpg,4.0,toy_poodle,0.442713,True,Pomeranian,0.142073,True,Pekinese,0.125745,True,10438.0,3284.0,2017-02-10 00:00:00,2018-10-13 16:53:00,no-entry,toy_poodle,0.442713,13.0,1.0
360,829861396166877184,Twitter for iPhone,This is Mia. She already knows she's a good dog. You don't have to tell her. 12/10 would probably tell her anyway https://t.co/xeudgDXmTU,12.0,10.0,Mia,https://pbs.twimg.com/media/C4RCiIHWYAAwgJM.jpg,1.0,Border_terrier,0.394486,True,Staffordshire_bullterrier,0.376574,True,American_Staffordshire_terrier,0.0312916,True,12994.0,2134.0,2017-02-10 00:00:00,2018-10-13 01:15:00,no-entry,Border_terrier,0.394486,12.0,1.0
361,829501995190984704,Twitter for iPhone,This is Leo. He was a skater pup. She said see ya later pup. He wasn't good enough for her. 12/10 you're good enough for me Leo https://t.co/Xw9JbJHTul,12.0,10.0,Leo,https://pbs.twimg.com/media/C4L7p19W8AA3Fs_.jpg,1.0,French_bulldog,0.950851,True,Pekinese,0.0151996,True,pug,0.0110936,True,33726.0,11592.0,2017-02-09 00:00:00,2018-10-13 01:27:00,no-entry,French_bulldog,0.950851,12.0,1.0
362,829449946868879360,Twitter for iPhone,Here's a stressed doggo. Had a long day. Many things on her mind. The hat communicates these feelings exquisitely. 11/10 https://t.co/fmRS43mWQB,11.0,10.0,,https://pbs.twimg.com/media/C4LMUf8WYAkWz4I.jpg,1.0,Labrador_retriever,0.315163,True,golden_retriever,0.15321,True,Pekinese,0.13279100000000002,True,11119.0,2211.0,2017-02-08 00:00:00,2018-10-13 22:00:00,doggo,Labrador_retriever,0.315163,11.0,1.0
364,829141528400556032,Twitter for iPhone,This is Malcolm. He goes from sneaky tongue slip to flirt wink city in a matter of seconds. 12/10 would hug softly https://t.co/rHwfySggqR,12.0,10.0,Malcolm,https://pbs.twimg.com/media/C4GzztSWAAA_qi4.jpg,2.0,golden_retriever,0.57314,True,cocker_spaniel,0.111159,True,gibbon,0.0941269,False,26062.0,8097.0,2017-02-08 00:00:00,2018-10-13 01:35:00,no-entry,golden_retriever,0.57314,12.0,1.0
365,829011960981237760,Twitter for iPhone,This is Dexter. He was reunited with his mom yesterday after she was stuck in Iran during the travel Bannon. 13/10 welcome home https://t.co/U50RlRw4is,13.0,10.0,Dexter,https://pbs.twimg.com/media/C4E99ygWcAAQpPs.jpg,2.0,boxer,0.312221,True,dalmatian,0.24404,True,conch,0.130273,False,56354.0,17703.0,2017-02-07 00:00:00,2018-10-13 17:00:00,no-entry,boxer,0.312221,13.0,1.0
369,828650029636317184,Twitter for iPhone,"Occasionally, we're sent fantastic stories. This is one of them. 14/10 for Grace https://t.co/bZ4axuH6OK",14.0,10.0,,https://pbs.twimg.com/media/C3_0yhCWEAETXj2.jpg,1.0,golden_retriever,0.649209,True,Chesapeake_Bay_retriever,0.19856,True,vizsla,0.0561999,True,10107.0,1471.0,2017-02-06 00:00:00,2018-10-13 17:02:00,no-entry,golden_retriever,0.649209,14.0,1.0
377,828011680017821696,Twitter for iPhone,Say hello to Brutus and Jersey. They think they're the same size. Best furiends furever. Both 11/10 would pet simultaneously https://t.co/rkhCFfDtxB,11.0,10.0,Brutus,https://pbs.twimg.com/media/C32wOLcWYAAjNqS.jpg,1.0,American_Staffordshire_terrier,0.936662,True,Staffordshire_bullterrier,0.0329991,True,bull_mastiff,0.0171834,True,11033.0,2345.0,2017-02-04 00:00:00,2018-10-13 22:45:00,no-entry,American_Staffordshire_terrier,0.936662,11.0,1.0
380,827600520311402496,Twitter for iPhone,Meet Tucker. It's his birthday. He's pupset with you because you're too busy playing @GoodDogsGame to celebrate. 13/10 would put down phone https://t.co/vrppizPGdb,13.0,10.0,Tucker,https://pbs.twimg.com/media/C3w6RYbWQAAEQ25.jpg,1.0,Pembroke,0.32563800000000004,True,golden_retriever,0.317235,True,Labrador_retriever,0.116087,True,7885.0,1037.0,2017-02-03 00:00:00,2018-10-13 19:31:00,no-entry,Pembroke,0.32563800000000004,13.0,1.0
381,827324948884643840,Twitter for iPhone,"This is Ralphie. He's being treated for an overactive funny bone, which is no joke. 12/10 would try to pet with a straight face https://t.co/UU3KqQF5n5",12.0,10.0,Ralphie,https://pbs.twimg.com/media/C3s_pYrXAAA1eqZ.jpg,1.0,golden_retriever,0.352486,True,toy_poodle,0.178884,True,Labrador_retriever,0.08416439999999999,True,16914.0,3350.0,2017-02-03 00:00:00,2018-10-13 01:16:00,no-entry,golden_retriever,0.352486,12.0,1.0
385,826848821049180160,Twitter for iPhone,This is Cupid. He was found in the trash. Now he's well on his way to prosthetic front legs and a long happy doggo life. 13/10 heroic af https://t.co/WS0Gha8vRh,13.0,10.0,Cupid,https://pbs.twimg.com/media/C3mOnZ_XUAAjr2V.jpg,4.0,Great_Pyrenees,0.858764,True,golden_retriever,0.0235257,True,Pekinese,0.017103900000000002,True,38870.0,11199.0,2017-02-01 00:00:00,2018-10-13 17:44:00,doggo,Great_Pyrenees,0.858764,13.0,1.0
390,826240494070030336,Twitter for iPhone,We only rate dogs. Please don't send in any more non-dogs like this Wild Albanian Street Moose. Thank you... 11/10 https://t.co/srXL2s868C,11.0,10.0,,https://pbs.twimg.com/media/C3dlVMbXAAUd-Gh.jpg,1.0,French_bulldog,0.903048,True,pug,0.0962421,True,Boston_bull,0.000234364,True,14144.0,2829.0,2017-01-31 00:00:00,2018-10-13 01:27:00,no-entry,French_bulldog,0.903048,11.0,1.0
394,825829644528148480,Twitter for iPhone,This is Toby. He just found out you only pretend to throw the ball sometimes. H*ckin puppalled. 12/10 would console https://t.co/YimNdkZrhM,12.0,10.0,Toby,https://pbs.twimg.com/media/C3XvqILXUAU2nnT.jpg,2.0,Great_Pyrenees,0.8534069999999999,True,golden_retriever,0.0535313,True,English_setter,0.045829900000000014,True,13587.0,2726.0,2017-01-29 00:00:00,2018-10-13 22:15:00,no-entry,Great_Pyrenees,0.8534069999999999,12.0,1.0
395,825535076884762624,Twitter for iPhone,Here's a very loving and accepting puppo. Appears to have read her Constitution well. 14/10 would pat head approvingly https://t.co/6ao80wIpV1,14.0,10.0,,https://pbs.twimg.com/media/C3TjvitXAAAI-QH.jpg,1.0,Rottweiler,0.681495,True,Tibetan_mastiff,0.14794000000000002,True,black-and-tan_coonhound,0.0245252,True,55536.0,18849.0,2017-01-29 00:00:00,2018-10-13 02:44:00,puppo,Rottweiler,0.681495,14.0,1.0
396,825147591692263424,Twitter for iPhone,This is Sweet Pea. She hides in shoe boxes and waits for someone to pick her. Then she surpuprises them. 13/10 https://t.co/AyBEmx56MD,13.0,10.0,Sweet,https://pbs.twimg.com/media/C3ODWpfXAAAP1fb.jpg,1.0,Pekinese,0.354823,True,Pomeranian,0.24539,True,toy_poodle,0.136545,True,19524.0,5009.0,2017-01-28 00:00:00,2018-10-13 01:04:00,no-entry,Pekinese,0.354823,13.0,1.0
398,825026590719483904,Twitter for iPhone,"Say hello to Pablo. He's one gorgeous puppo. A true 12/10. Click the link to see why Pablo requests your assistance

https://t.co/koHvVQp9bL https://t.co/IhW0JKf7kc",12.0,10.0,Pablo,https://pbs.twimg.com/media/C3MVTeHWcAAGNfx.jpg,2.0,Eskimo_dog,0.524454,True,Siberian_husky,0.467678,True,malamute,0.00497584,True,6770.0,1411.0,2017-01-27 00:00:00,2018-10-13 17:04:00,puppo,Eskimo_dog,0.524454,12.0,1.0
400,824775126675836928,Twitter for iPhone,This is Scooter. His lack of opposable thumbs is rendering his resistance to tickling embarrassingly moot. 12/10 would keep tickling https://t.co/F0VWg2GztI,12.0,10.0,Scooter,https://pbs.twimg.com/media/C3Iwlr0WYAARVh4.jpg,1.0,Border_terrier,0.610499,True,malinois,0.0902912,True,Airedale,0.0686247,True,15961.0,3863.0,2017-01-27 00:00:00,2018-10-13 00:24:00,no-entry,Border_terrier,0.610499,12.0,1.0
402,824325613288833024,Twitter for iPhone,Retweet the h*ck out of this 13/10 pupper #BellLetsTalk https://t.co/wBmc7OaGvS,13.0,10.0,,https://pbs.twimg.com/media/C3CXxaoWQAAiLuC.jpg,1.0,Pembroke,0.990793,True,Cardigan,0.00891939,True,basenji,0.000262264,True,12580.0,11382.0,2017-01-25 00:00:00,2018-10-13 18:38:00,pupper,Pembroke,0.990793,13.0,1.0
405,823939628516474880,Twitter for iPhone,This is Cash. He's officially given pup on today. 12/10 frighteningly relatable https://t.co/m0hrATIEyw,12.0,10.0,Cash,https://pbs.twimg.com/media/C284uD8WgAEmMVn.jpg,1.0,schipperke,0.23407600000000006,True,curly-coated_retriever,0.193093,True,Labrador_retriever,0.0951966,True,11373.0,2974.0,2017-01-24 00:00:00,2018-10-13 17:04:00,no-entry,schipperke,0.23407600000000006,12.0,1.0
407,823699002998870016,Twitter for iPhone,This is Winston. The goggles make him a superhero. Protects the entire city from criminals unless they rub his belly really well. 12/10 https://t.co/yCydYURYEL,12.0,10.0,Winston,https://pbs.twimg.com/media/C25d3nkXEAAFBUN.jpg,1.0,cairn,0.203999,True,snorkel,0.17189300000000002,False,Norfolk_terrier,0.107543,True,13432.0,2654.0,2017-01-24 00:00:00,2018-10-13 01:08:00,no-entry,cairn,0.203999,12.0,1.0
408,823581115634085888,Twitter for iPhone,This is Crawford. He's quite h*ckin good at the selfies. Nose is incredibly boopable. 11/10 would snapchat https://t.co/6F5Rrp472U,11.0,10.0,Crawford,https://pbs.twimg.com/media/C23ypm6VQAAO31l.jpg,1.0,dingo,0.280949,False,German_shepherd,0.194044,True,Pembroke,0.120051,True,13916.0,2902.0,2017-01-23 00:00:00,2018-10-13 17:20:00,no-entry,dingo,0.194044,11.0,1.0
