carat,cut,cut_ord,color,clarity,clarity_ord,price,bid
1.63,Premium,4,I,VS1,4,10892.589999999998,7624.812999999998
0.38,Ideal,5,E,IF,8,2350.44,1645.308
1.29,Premium,4,I,VS1,4,8032.17,5622.518999999999
1.1,Very Good,3,I,SI2,2,5367.600000000001,3757.3200000000006
1.73,Premium,4,F,SI2,2,10825.89,7578.122999999999
1.01,Fair,1,F,SI1,3,4748.23,3323.7609999999995
0.41,Very Good,3,E,SI2,2,-437.3700000000001,-306.15900000000005
0.9,Premium,4,I,VS2,5,5205.1,3643.57
0.3,Ideal,5,I,VS1,4,-138.5999999999999,-97.01999999999992
0.27,Ideal,5,E,VS1,4,-390.9899999999998,-273.6929999999998
0.28,Very Good,3,H,SI1,3,-1077.0599999999995,-753.9419999999996
1.17,Ideal,5,H,VS2,5,7634.709999999999,5344.296999999999
1.02,Premium,4,E,SI1,3,5306.66,3714.662
0.34,Ideal,5,E,VVS1,7,1559.92,1091.944
0.45,Good,2,F,VS1,4,649.05,454.3349999999999
0.75,Ideal,5,G,SI2,2,2739.25,1917.475
0.31,Ideal,5,F,VVS2,6,853.5300000000002,597.4710000000001
0.38,Ideal,5,D,VVS2,6,1442.44,1009.708
0.39,Premium,4,G,VS2,5,914.4700000000003,640.1290000000001
0.54,Ideal,5,G,SI1,3,1426.5200000000004,998.5640000000002
0.7,Premium,4,D,SI1,3,2614.4999999999995,1830.1499999999996
0.31,Ideal,5,E,IF,8,1761.5300000000002,1233.0710000000001
1.21,Ideal,5,F,VS2,5,7971.23,5579.860999999999
0.33,Premium,4,G,VS1,4,-44.309999999999945,-31.01699999999996
1.11,Very Good,3,J,VS1,4,6359.7300000000005,4451.811
0.31,Ideal,5,F,VS2,5,399.5300000000002,279.6710000000001
0.32,Very Good,3,F,VS2,5,167.46000000000004,117.22200000000002
0.28,Very Good,3,E,VVS2,6,284.9400000000005,199.45800000000034
2.17,Very Good,3,H,SI2,2,14369.509999999998,10058.656999999997
0.35,Good,2,H,VS2,5,261.7499999999998,183.22499999999982
0.57,Ideal,5,F,VVS1,7,3494.91,2446.437
1.02,Ideal,5,I,SI1,3,5464.76,3825.332
0.77,Ideal,5,J,VS2,5,4269.51,2988.657
0.55,Ideal,5,F,SI2,2,1056.6500000000005,739.6550000000003
0.91,Premium,4,G,SI1,3,4381.23,3066.8609999999994
1.01,Very Good,3,G,VS2,5,5972.429999999999,4180.700999999999
0.33,Ideal,5,G,VVS2,6,1021.79,715.2529999999999
0.9,Good,2,H,VS2,5,4888.9,3422.2299999999996
0.31,Premium,4,G,VS2,5,241.4300000000003,169.0010000000002
0.3,Ideal,5,D,VS1,4,-138.5999999999999,-97.01999999999992
0.39,Ideal,5,H,SI2,2,-289.42999999999984,-202.60099999999989
0.63,Very Good,3,G,VS1,4,2321.49,1625.0429999999997
0.71,Ideal,5,F,SI1,3,2856.7299999999996,1999.7109999999996
1.02,Ideal,5,G,VS2,5,6372.76,4460.932
0.56,Very Good,3,J,VS2,5,2186.580000000001,1530.6060000000004
0.53,Ideal,5,E,VS1,4,1796.3900000000003,1257.4730000000002
0.92,Good,2,D,SI2,2,3695.16,2586.6119999999996
0.3,Ideal,5,G,VS1,4,-138.5999999999999,-97.01999999999992
0.52,Very Good,3,F,VVS2,6,2304.0600000000004,1612.842
0.36,Ideal,5,E,VS1,4,366.17999999999984,256.32599999999985
2.02,Ideal,5,F,SI2,2,13423.759999999998,9396.631999999998
0.54,Ideal,5,D,VS2,5,2334.5200000000004,1634.1640000000002
0.76,Very Good,3,J,VS1,4,3415.1800000000003,2390.626
1.21,Very Good,3,F,VS2,5,7655.03,5358.521
0.3,Premium,4,F,VS2,5,157.30000000000018,110.11000000000013
0.9,Very Good,3,E,SI1,3,4139.0,2897.2999999999997
0.36,Ideal,5,D,SI2,2,-541.8200000000002,-379.2740000000001
0.71,Ideal,5,I,SI1,3,2856.7299999999996,1999.7109999999996
1.09,Ideal,5,E,VS2,5,6961.67,4873.169
0.31,Ideal,5,D,VVS2,6,853.5300000000002,597.4710000000001
0.3,Very Good,3,G,VS1,4,-454.8000000000002,-318.3600000000001
0.4,Ideal,5,I,VS2,5,1156.7000000000003,809.6900000000002
0.3,Ideal,5,E,VVS2,6,769.4000000000001,538.58
1.7,Premium,4,F,VS2,5,11935.5,8354.85
0.43,Very Good,3,E,SI1,3,184.8900000000001,129.42300000000006
0.53,Ideal,5,F,VVS2,6,2704.3900000000003,1893.073
0.41,Ideal,5,G,VS1,4,786.8299999999999,550.781
0.72,Premium,4,E,SI1,3,2782.7599999999998,1947.9319999999998
1.0,Good,2,G,VS2,5,5730.2,4011.1399999999994
0.37,Ideal,5,F,VVS2,6,1358.31,950.8169999999999
0.5,Very Good,3,G,SI1,3,773.8,541.66
0.31,Ideal,5,G,VVS1,7,1307.5300000000002,915.2710000000001
1.01,Very Good,3,F,VS2,5,5972.429999999999,4180.700999999999
0.33,Ideal,5,E,VS2,5,567.79,397.453
0.35,Good,2,I,SI1,3,-646.2500000000002,-452.3750000000001
0.3,Ideal,5,E,VVS2,6,769.4000000000001,538.58
0.37,Premium,4,J,VS2,5,746.21,522.347
1.21,Ideal,5,G,VS2,5,7971.23,5579.860999999999
1.05,Ideal,5,E,VVS2,6,7079.15,4955.405
1.11,Premium,4,D,VS2,5,6971.83,4880.281
0.57,Ideal,5,D,VS2,5,2586.91,1810.8369999999998
1.01,Very Good,3,E,SI2,2,4610.429999999999,3227.3009999999995
0.51,Ideal,5,I,VS2,5,2082.13,1457.491
0.52,Ideal,5,G,VS1,4,1712.2600000000002,1198.582
0.58,Ideal,5,G,SI1,3,1763.04,1234.128
0.26,Very Good,3,E,VVS1,7,570.6800000000003,399.47600000000017
0.85,Fair,1,H,I1,1,2494.15,1745.905
0.43,Ideal,5,G,VVS1,7,2317.09,1621.963
0.25,Ideal,5,G,VVS1,7,802.75,561.925
0.78,Ideal,5,H,SI1,3,3445.6400000000003,2411.948
1.0,Ideal,5,D,SI1,3,5296.5,3707.5499999999997
0.31,Good,2,D,SI2,2,-1436.77,-1005.7389999999999
0.44,Premium,4,G,VS2,5,1335.12,934.5839999999998
0.5,Premium,4,G,VVS2,6,2293.9,1605.73
1.82,Very Good,3,G,SI1,3,11878.96,8315.271999999999
0.4,Very Good,3,D,VVS2,6,1294.5000000000002,906.1500000000001
0.33,Premium,4,H,VS2,5,409.69000000000005,286.783
0.71,Premium,4,G,SI1,3,2698.6299999999997,1889.0409999999997
2.03,Very Good,3,I,VS2,5,14553.689999999999,10187.582999999999
0.25,Ideal,5,H,VS1,4,-559.25,-391.47499999999997
1.1,Premium,4,F,VS2,5,6887.700000000001,4821.39
0.91,Very Good,3,G,VS1,4,4677.13,3273.991
0.54,Ideal,5,D,VS1,4,1880.5200000000004,1316.3640000000003
0.9,Good,2,D,SI1,3,3980.8999999999996,2786.6299999999997
1.09,Good,2,H,SI1,3,5579.37,3905.5589999999997
1.57,Ideal,5,H,I1,1,9183.91,6428.736999999999
0.71,Ideal,5,F,VS1,4,3310.7299999999996,2317.5109999999995
0.72,Good,2,G,VS2,5,3374.5599999999995,2362.1919999999996
1.12,Ideal,5,H,SI1,3,6306.060000000001,4414.242
0.31,Ideal,5,H,IF,8,1761.5300000000002,1233.0710000000001
0.7,Ideal,5,F,SI1,3,2772.5999999999995,1940.8199999999995
0.53,Ideal,5,H,VS1,4,1796.3900000000003,1257.4730000000002
0.3,Ideal,5,H,IF,8,1677.4,1174.18
0.73,Premium,4,G,VVS2,6,4228.889999999999,2960.2229999999995
0.4,Premium,4,E,VS1,4,544.6000000000004,381.22000000000025
1.09,Premium,4,H,SI1,3,5895.57,4126.898999999999
1.21,Premium,4,I,VS2,5,7813.129999999999,5469.190999999999
0.32,Ideal,5,D,VVS2,6,937.6599999999999,656.3619999999999
0.31,Ideal,5,G,VVS1,7,1307.5300000000002,915.2710000000001
0.43,Premium,4,I,IF,8,2612.9900000000002,1829.093
0.3,Ideal,5,E,VS2,5,315.4000000000001,220.78000000000006
1.0,Ideal,5,H,I1,1,4388.5,3071.95
0.3,Ideal,5,E,SI2,2,-1046.6,-732.6199999999999
0.61,Very Good,3,G,VS2,5,2607.2300000000005,1825.0610000000001
0.33,Very Good,3,E,SI1,3,-656.4100000000001,-459.487
0.62,Premium,4,F,VS2,5,2849.4600000000005,1994.6220000000003
1.1,Premium,4,G,VS2,5,6887.700000000001,4821.39
0.32,Ideal,5,F,VS1,4,29.659999999999854,20.761999999999897
1.08,Very Good,3,F,SI1,3,5653.340000000001,3957.3380000000006
0.41,Ideal,5,G,SI2,2,-121.17000000000007,-84.81900000000005
1.0,Ideal,5,G,SI1,3,5296.5,3707.5499999999997
1.0,Ideal,5,E,SI1,3,5296.5,3707.5499999999997
0.37,Ideal,5,G,IF,8,2266.31,1586.417
0.35,Premium,4,E,SI2,2,-784.0500000000002,-548.835
1.2,Good,2,H,SI1,3,6504.8,4553.36
0.5,Premium,4,E,SI1,3,931.9,652.3299999999999
0.43,Ideal,5,G,VVS2,6,1863.0900000000001,1304.163
0.42,Very Good,3,G,VS2,5,1008.76,706.132
0.59,Ideal,5,E,SI1,3,1847.17,1293.019
1.4,Ideal,5,H,SI2,2,8207.699999999999,5745.3899999999985
0.66,Good,2,F,VS2,5,2869.7799999999997,2008.8459999999998
1.02,Ideal,5,I,VS2,5,6372.76,4460.932
0.53,Ideal,5,H,VS2,5,2250.3900000000003,1575.2730000000001
0.51,Good,2,F,SI1,3,699.8300000000002,489.8810000000001
0.42,Very Good,3,D,SI2,2,-353.24,-247.268
2.03,Ideal,5,H,SI2,2,13507.89,9455.523
0.41,Premium,4,H,VS1,4,628.73,440.111
0.41,Ideal,5,F,VS1,4,786.8299999999999,550.781
0.3,Very Good,3,H,VS2,5,-0.8000000000001819,-0.5600000000001273
1.11,Ideal,5,F,VS2,5,7129.93,4990.951
0.31,Very Good,3,J,VS2,5,83.32999999999993,58.330999999999946
0.7,Good,2,F,SI1,3,2298.2999999999993,1608.8099999999995
0.4,Premium,4,E,SI1,3,90.60000000000036,63.42000000000025
0.33,Ideal,5,G,SI2,2,-794.21,-555.947
0.9,Very Good,3,F,SI2,2,3685.0,2579.5
0.31,Ideal,5,F,VS2,5,399.5300000000002,279.6710000000001
1.15,Ideal,5,D,VS2,5,7466.449999999999,5226.5149999999985
1.01,Ideal,5,D,VVS2,6,6742.629999999999,4719.840999999999
0.42,Ideal,5,G,VS1,4,870.96,609.672
0.91,Ideal,5,J,VS1,4,4993.33,3495.3309999999997
1.26,Premium,4,I,SI1,3,7325.779999999999,5128.0459999999985
1.28,Ideal,5,G,VS1,4,8106.139999999999,5674.297999999999
1.17,Ideal,5,G,VVS2,6,8088.709999999999,5662.096999999999
1.02,Premium,4,G,SI2,2,4852.66,3396.8619999999996
0.57,Ideal,5,E,VS2,5,2586.91,1810.8369999999998
0.91,Very Good,3,I,VS2,5,5131.13,3591.7909999999997
1.0,Ideal,5,I,VS2,5,6204.5,4343.15
0.7,Good,2,D,VS1,4,2752.2999999999993,1926.6099999999994
1.14,Very Good,3,D,VS2,5,7066.12,4946.284
0.9,Very Good,3,F,SI2,2,3685.0,2579.5
0.3,Ideal,5,G,IF,8,1677.4,1174.18
0.27,Ideal,5,E,VS1,4,-390.9899999999998,-273.6929999999998
0.34,Ideal,5,I,IF,8,2013.92,1409.744
0.33,Ideal,5,G,IF,8,1929.79,1350.8529999999998
2.0,Ideal,5,G,SI2,2,13255.5,9278.849999999999
0.7,Premium,4,G,VS2,5,3522.4999999999995,2465.7499999999995
0.37,Good,2,F,VS2,5,430.01,301.00699999999995
0.73,Ideal,5,D,VS2,5,3932.99,2753.093
0.38,Ideal,5,E,SI1,3,80.44000000000005,56.308000000000035
1.0,Premium,4,I,VS1,4,5592.4,3914.6799999999994
0.39,Premium,4,G,IF,8,2276.4700000000003,1593.529
0.51,Premium,4,E,VS2,5,1924.0300000000002,1346.8210000000001
0.7,Very Good,3,F,SI1,3,2456.3999999999996,1719.4799999999996
1.11,Good,2,H,SI2,2,5293.63,3705.5409999999997
0.34,Ideal,5,E,VVS1,7,1559.92,1091.944
1.25,Ideal,5,J,SI1,3,7399.75,5179.825
0.52,Ideal,5,J,SI1,3,1258.2600000000002,880.7820000000002
1.0,Very Good,3,H,SI2,2,4526.3,3168.41
0.33,Ideal,5,F,VVS1,7,1475.79,1033.0529999999999
1.8,Ideal,5,D,SI2,2,11572.9,8101.029999999999
0.3,Good,2,H,VS1,4,-612.9000000000001,-429.03000000000003
0.7,Very Good,3,E,VS1,4,2910.3999999999996,2037.2799999999995
1.08,Ideal,5,G,VS2,5,6877.540000000001,4814.278
0.61,Good,2,G,I1,1,633.1300000000003,443.1910000000002
1.1,Premium,4,G,VS2,5,6887.700000000001,4821.39
0.41,Premium,4,F,VS2,5,1082.73,757.911
0.33,Very Good,3,G,VS2,5,251.58999999999992,176.11299999999994
0.5,Premium,4,J,SI1,3,931.9,652.3299999999999
0.38,Premium,4,D,VS1,4,376.34000000000015,263.4380000000001
2.01,Ideal,5,H,SI2,2,13339.629999999997,9337.740999999998
0.42,Ideal,5,D,SI1,3,416.96000000000004,291.872
1.52,Ideal,5,G,SI1,3,9671.26,6769.882
0.53,Ideal,5,E,VS1,4,1796.3900000000003,1257.4730000000002
0.7,Very Good,3,E,IF,8,4726.4,3308.4799999999996
0.72,Ideal,5,G,VS2,5,3848.8599999999997,2694.2019999999998
0.9,Very Good,3,E,SI1,3,4139.0,2897.2999999999997
1.22,Ideal,5,I,SI1,3,7147.360000000001,5003.152
0.25,Very Good,3,F,VVS1,7,486.5500000000002,340.5850000000001
2.03,Ideal,5,I,VS2,5,14869.89,10408.922999999999
1.02,Ideal,5,G,SI2,2,5010.76,3507.532
0.74,Ideal,5,J,VS1,4,3563.12,2494.1839999999997
1.24,Premium,4,H,SI1,3,7157.52,5010.264
1.15,Premium,4,G,SI2,2,5946.3499999999985,4162.444999999999
2.01,Premium,4,I,SI2,2,13181.529999999997,9227.070999999998
0.71,Premium,4,F,IF,8,4968.629999999999,3478.0409999999993
0.56,Ideal,5,D,SI2,2,1140.7800000000007,798.5460000000004
1.01,Ideal,5,H,SI1,3,5380.629999999999,3766.4409999999993
0.31,Ideal,5,F,IF,8,1761.5300000000002,1233.0710000000001
1.19,Ideal,5,D,SI2,2,6440.969999999999,4508.678999999999
0.5,Ideal,5,D,VS2,5,1998.0,1398.6
1.02,Premium,4,G,SI1,3,5306.66,3714.662
0.38,Premium,4,E,SI1,3,-77.65999999999985,-54.361999999999895
0.41,Ideal,5,F,VVS2,6,1694.83,1186.3809999999999
1.52,Ideal,5,D,SI2,2,9217.26,6452.081999999999
1.22,Ideal,5,G,VS2,5,8055.360000000001,5638.752
0.53,Ideal,5,D,VS2,5,2250.3900000000003,1575.2730000000001
0.4,Very Good,3,D,SI1,3,-67.49999999999977,-47.24999999999984
0.33,Premium,4,D,SI1,3,-498.30999999999995,-348.81699999999995
0.31,Ideal,5,H,VS1,4,-54.4699999999998,-38.128999999999856
1.14,Premium,4,D,SI1,3,6316.219999999999,4421.353999999999
1.32,Premium,4,I,SI2,2,7376.5599999999995,5163.592
0.23,Very Good,3,F,VVS1,7,318.28999999999996,222.80299999999997
0.41,Very Good,3,G,VVS2,6,1378.6299999999999,965.0409999999998
2.24,Ideal,5,I,SI2,2,15274.620000000003,10692.234
0.55,Ideal,5,D,VS2,5,2418.6500000000005,1693.0550000000003
2.32,Fair,1,H,SI1,3,15769.26,11038.482
1.25,Ideal,5,J,VS2,5,8307.75,5815.424999999999
0.31,Ideal,5,F,SI1,3,-508.4699999999998,-355.92899999999986
2.01,Fair,1,H,VS2,5,14069.229999999998,9848.460999999998
0.55,Ideal,5,E,SI1,3,1510.6500000000005,1057.4550000000004
0.7,Very Good,3,E,VVS2,6,3818.3999999999996,2672.8799999999997
1.51,Good,2,D,VS1,4,9566.829999999998,6696.780999999998
0.31,Ideal,5,F,VVS1,7,1307.5300000000002,915.2710000000001
0.95,Ideal,5,H,SI1,3,4875.849999999999,3413.0949999999993
0.24,Ideal,5,G,VS1,4,-643.3800000000001,-450.36600000000004
0.4,Premium,4,D,SI2,2,-363.39999999999964,-254.37999999999974
1.25,Premium,4,H,SI2,2,6787.65,4751.355
0.24,Very Good,3,E,VVS1,7,402.4200000000001,281.694
0.83,Ideal,5,F,SI1,3,3866.29,2706.403
1.01,Very Good,3,G,VS2,5,5972.429999999999,4180.700999999999
0.27,Very Good,3,F,VVS1,7,654.8100000000004,458.36700000000025
1.1,Ideal,5,F,VS1,4,6591.800000000001,4614.26
0.3,Premium,4,G,VVS2,6,611.3000000000002,427.9100000000001
0.52,Ideal,5,E,SI1,3,1258.2600000000002,880.7820000000002
0.4,Ideal,5,G,IF,8,2518.7000000000003,1763.0900000000001
1.3,Premium,4,H,SI1,3,7662.299999999999,5363.609999999999
1.71,Ideal,5,G,VS1,4,11723.73,8206.610999999999
0.52,Ideal,5,D,VS2,5,2166.26,1516.382
0.33,Ideal,5,H,VVS1,7,1475.79,1033.0529999999999
1.0,Very Good,3,E,VVS2,6,6342.3,4439.61
0.5,Premium,4,F,VS1,4,1385.9,970.13
0.91,Very Good,3,F,SI1,3,4223.13,2956.191
1.21,Ideal,5,G,VS1,4,7517.23,5262.061
0.51,Ideal,5,D,VS2,5,2082.13,1457.491
0.41,Premium,4,G,VVS2,6,1536.73,1075.711
0.94,Very Good,3,F,SI2,2,4021.5199999999995,2815.0639999999994
0.31,Premium,4,G,SI1,3,-666.5699999999997,-466.59899999999976
0.4,Ideal,5,D,VS2,5,1156.7000000000003,809.6900000000002
1.12,Ideal,5,G,SI1,3,6306.060000000001,4414.242
1.0,Good,2,E,SI1,3,4822.2,3375.5399999999995
1.48,Premium,4,H,SI2,2,8722.64,6105.847999999999
0.32,Ideal,5,G,SI1,3,-424.34000000000015,-297.03800000000007
0.76,Good,2,G,IF,8,5073.08,3551.156
0.42,Ideal,5,D,SI1,3,416.96000000000004,291.872
0.5,Good,2,E,SI1,3,615.7,430.99
0.83,Very Good,3,J,VS2,5,4458.09,3120.663
0.32,Very Good,3,G,VS1,4,-286.53999999999996,-200.57799999999997
0.7,Ideal,5,H,VS1,4,3226.5999999999995,2258.6199999999994
0.73,Ideal,5,D,VS1,4,3478.99,2435.2929999999997
0.71,Very Good,3,D,VS1,4,2994.5299999999997,2096.171
0.35,Premium,4,F,SI1,3,-330.0500000000002,-231.0350000000001
0.42,Premium,4,H,SI1,3,258.8600000000001,181.20200000000008
0.81,Ideal,5,E,VS2,5,4606.030000000001,3224.2210000000005
0.32,Ideal,5,E,VS2,5,483.65999999999985,338.5619999999999
0.85,Premium,4,I,I1,1,2968.4500000000003,2077.915
0.71,Good,2,F,SI1,3,2382.4299999999994,1667.7009999999996
0.32,Very Good,3,H,VVS2,6,621.46,435.022
1.09,Premium,4,H,SI1,3,5895.57,4126.898999999999
0.35,Premium,4,D,VS2,5,577.9499999999998,404.5649999999998
0.82,Premium,4,G,SI2,2,3170.06,2219.042
1.03,Premium,4,H,SI1,3,5390.789999999999,3773.552999999999
0.5,Fair,1,H,VS1,4,911.6,638.12
0.8,Ideal,5,H,VS2,5,4521.900000000001,3165.3300000000004
1.12,Premium,4,J,SI2,2,5693.960000000001,3985.7720000000004
1.62,Premium,4,G,VS2,5,11262.460000000001,7883.722
1.22,Ideal,5,H,SI1,3,7147.360000000001,5003.152
0.52,Ideal,5,F,VVS1,7,3074.26,2151.982
1.11,Good,2,I,VS2,5,6655.63,4658.941
0.31,Very Good,3,F,SI1,3,-824.6700000000001,-577.269
0.42,Ideal,5,D,VS1,4,870.96,609.672
0.32,Ideal,5,H,VS2,5,483.65999999999985,338.5619999999999
0.9,Very Good,3,F,SI1,3,4139.0,2897.2999999999997
1.04,Ideal,5,H,SI1,3,5633.02,3943.114
0.35,Ideal,5,D,VS2,5,736.0499999999997,515.2349999999998
0.5,Fair,1,E,VS2,5,1365.6,955.9199999999998
0.36,Very Good,3,D,SI1,3,-404.0200000000002,-282.81400000000014
0.3,Premium,4,D,SI2,2,-1204.6999999999998,-843.2899999999998
0.7,Very Good,3,E,SI1,3,2456.3999999999996,1719.4799999999996
0.41,Very Good,3,G,VS1,4,470.6299999999999,329.4409999999999
0.4,Premium,4,D,VS2,5,998.6000000000004,699.0200000000002
1.1,Premium,4,E,SI2,2,5525.700000000001,3867.9900000000002
0.74,Very Good,3,E,SI2,2,2338.92,1637.244
0.51,Ideal,5,F,VS2,5,2082.13,1457.491
0.27,Very Good,3,F,VVS1,7,654.8100000000004,458.36700000000025
1.01,Ideal,5,G,VS2,5,6288.629999999999,4402.040999999999
1.37,Very Good,3,I,SI2,2,7639.1100000000015,5347.377
1.01,Premium,4,H,SI1,3,5222.529999999999,3655.770999999999
0.39,Fair,1,E,SI1,3,-467.8299999999999,-327.48099999999994
0.51,Premium,4,E,SI1,3,1016.0300000000001,711.221
0.5,Premium,4,G,VVS2,6,2293.9,1605.73
1.55,Ideal,5,G,SI2,2,9469.65,6628.754999999999
0.3,Ideal,5,F,IF,8,1677.4,1174.18
2.0,Premium,4,D,SI2,2,13097.4,9168.179999999998
0.35,Premium,4,J,VS1,4,123.94999999999982,86.76499999999987
0.33,Ideal,5,D,VS2,5,567.79,397.453
1.0,Very Good,3,G,VS2,5,5888.3,4121.8099999999995
0.93,Good,2,G,SI2,2,3779.29,2645.5029999999997
0.25,Premium,4,E,VVS2,6,190.6500000000001,133.45500000000007
0.7,Good,2,E,SI1,3,2298.2999999999993,1608.8099999999995
1.01,Ideal,5,F,VS2,5,6288.629999999999,4402.040999999999
0.53,Premium,4,E,VVS2,6,2546.2900000000004,1782.4030000000002
1.51,Premium,4,G,VS2,5,10337.029999999999,7235.9209999999985
0.23,Very Good,3,F,VS1,4,-1043.71,-730.597
0.38,Premium,4,F,VS2,5,830.3400000000001,581.238
0.3,Good,2,G,VVS2,6,295.0999999999999,206.56999999999994
0.3,Ideal,5,G,VS1,4,-138.5999999999999,-97.01999999999992
1.01,Good,2,I,SI1,3,4906.329999999999,3434.430999999999
0.8,Premium,4,E,SI1,3,3455.8000000000006,2419.0600000000004
0.7,Ideal,5,E,VS1,4,3226.5999999999995,2258.6199999999994
0.7,Good,2,G,VS1,4,2752.2999999999993,1926.6099999999994
1.26,Ideal,5,I,SI2,2,7029.879999999999,4920.915999999999
1.09,Ideal,5,G,VVS2,6,7415.67,5190.969
1.0,Very Good,3,I,SI2,2,4526.3,3168.41
0.6,Ideal,5,E,VS1,4,2385.3,1669.71
0.32,Premium,4,H,SI1,3,-582.44,-407.708
0.41,Ideal,5,D,VVS2,6,1694.83,1186.3809999999999
0.32,Premium,4,F,VS2,5,325.55999999999995,227.89199999999994
0.4,Very Good,3,E,VS1,4,386.5000000000002,270.5500000000001
3.0,Very Good,3,H,I1,1,20898.3,14628.809999999998
0.56,Premium,4,E,VS2,5,2344.6800000000007,1641.2760000000005
0.9,Good,2,D,SI2,2,3526.8999999999996,2468.8299999999995
0.36,Ideal,5,H,VVS1,7,1728.1799999999998,1209.7259999999999
0.31,Very Good,3,E,VS2,5,83.32999999999993,58.330999999999946
1.19,Very Good,3,H,SI1,3,6578.7699999999995,4605.138999999999
0.56,Ideal,5,G,VVS1,7,3410.7800000000007,2387.5460000000003
0.7,Premium,4,F,VS2,5,3522.4999999999995,2465.7499999999995
0.71,Premium,4,I,VVS1,7,4514.629999999999,3160.240999999999
0.52,Very Good,3,G,VVS1,7,2758.0600000000004,1930.642
0.33,Premium,4,D,SI2,2,-952.31,-666.617
0.34,Ideal,5,F,VS2,5,651.9200000000001,456.344
1.19,Very Good,3,D,VVS1,7,8394.77,5876.339
0.4,Premium,4,D,VS1,4,544.6000000000004,381.22000000000025
1.07,Very Good,3,G,VS2,5,6477.21,4534.047
1.61,Ideal,5,G,VS2,5,11336.43,7935.500999999999
1.0,Premium,4,E,VS1,4,5592.4,3914.6799999999994
1.07,Ideal,5,G,SI1,3,5885.41,4119.786999999999
0.41,Ideal,5,F,VS2,5,1240.83,868.5809999999999
2.03,Premium,4,D,SI2,2,13349.789999999999,9344.853
0.58,Ideal,5,J,VS1,4,2217.04,1551.9279999999999
0.8,Very Good,3,F,SI1,3,3297.7000000000007,2308.3900000000003
0.32,Ideal,5,H,VS2,5,483.65999999999985,338.5619999999999
0.7,Ideal,5,D,SI1,3,2772.5999999999995,1940.8199999999995
0.79,Premium,4,H,SI1,3,3371.6700000000005,2360.1690000000003
0.93,Very Good,3,I,VS2,5,5299.39,3709.573
0.37,Very Good,3,F,VS2,5,588.1099999999999,411.6769999999999
0.41,Premium,4,E,VS2,5,1082.73,757.911
0.31,Ideal,5,D,SI2,2,-962.4699999999998,-673.7289999999998
0.7,Ideal,5,E,VS2,5,3680.5999999999995,2576.4199999999996
0.53,Ideal,5,D,VS2,5,2250.3900000000003,1575.2730000000001
0.3,Very Good,3,H,VS2,5,-0.8000000000001819,-0.5600000000001273
0.95,Very Good,3,E,SI2,2,4105.65,2873.9549999999995
0.41,Premium,4,F,VVS2,6,1536.73,1075.711
1.34,Premium,4,G,SI2,2,7544.82,5281.374
1.0,Very Good,3,D,SI1,3,4980.3,3486.21
0.42,Premium,4,D,VS1,4,712.8600000000001,499.00200000000007
0.41,Premium,4,E,VS1,4,628.73,440.111
0.5,Ideal,5,G,VVS1,7,2906.0,2034.1999999999998
0.46,Premium,4,I,SI2,2,141.38,98.966
0.35,Ideal,5,G,IF,8,2098.0499999999997,1468.6349999999998
0.82,Ideal,5,D,VS2,5,4690.16,3283.1119999999996
2.48,Very Good,3,F,SI2,2,16977.54,11884.278
0.35,Premium,4,J,VS1,4,123.94999999999982,86.76499999999987
1.52,Premium,4,D,SI2,2,9059.16,6341.411999999999
1.07,Ideal,5,F,VVS2,6,7247.41,5073.187
0.61,Ideal,5,E,SI2,2,1561.4300000000003,1093.0010000000002
0.39,Very Good,3,G,VVS2,6,1210.3700000000001,847.259
0.71,Premium,4,G,SI2,2,2244.6299999999997,1571.2409999999998
0.51,Fair,1,F,SI1,3,541.7300000000001,379.21100000000007
1.67,Ideal,5,D,SI1,3,10933.21,7653.2469999999985
1.0,Premium,4,G,I1,1,4230.4,2961.2799999999997
0.3,Good,2,F,VS2,5,-158.9000000000001,-111.23000000000006
1.22,Very Good,3,H,SI1,3,6831.160000000001,4781.812
0.72,Ideal,5,F,VS2,5,3848.8599999999997,2694.2019999999998
0.94,Premium,4,E,SI1,3,4633.619999999999,3243.533999999999
0.51,Ideal,5,D,SI2,2,720.1300000000001,504.09100000000007
1.01,Very Good,3,J,SI1,3,5064.429999999999,3545.100999999999
0.41,Premium,4,F,SI2,2,-279.27,-195.48899999999998
0.3,Very Good,3,E,SI1,3,-908.8000000000002,-636.1600000000001
1.11,Premium,4,I,SI2,2,5609.83,3926.881
0.5,Ideal,5,E,SI1,3,1090.0,763.0
1.2,Good,2,J,VS2,5,7412.8,5188.96
0.56,Ideal,5,H,SI1,3,1594.7800000000007,1116.3460000000005
0.9,Premium,4,D,SI1,3,4297.1,3007.9700000000003
1.0,Fair,1,I,VS1,4,5118.1,3582.67
0.35,Ideal,5,I,VS1,4,282.0499999999997,197.4349999999998
0.31,Ideal,5,D,VS2,5,399.5300000000002,279.6710000000001
0.71,Very Good,3,E,VS2,5,3448.5299999999997,2413.9709999999995
0.3,Premium,4,G,VVS2,6,611.3000000000002,427.9100000000001
0.3,Ideal,5,E,VS1,4,-138.5999999999999,-97.01999999999992
1.0,Very Good,3,E,IF,8,7250.3,5075.21
0.3,Premium,4,G,VVS2,6,611.3000000000002,427.9100000000001
1.48,Ideal,5,E,SI2,2,8880.74,6216.517999999999
1.5,Ideal,5,I,SI1,3,9503.0,6652.099999999999
